region,incomegroup,foundedyr
East Asia and Pacific,Lower middle income,2003
North America,High income,1872
East Asia and Pacific,Lower middle income,1911
East Asia and Pacific,Lower middle income,1977
East Asia and Pacific,Lower middle income,1991
East Asia and Pacific,Lower middle income,1975
North America,High income,1856
East Asia and Pacific,Lower middle income,1913
East Asia and Pacific,Lower middle income,1948
East Asia and Pacific,Lower middle income,1967
East Asia and Pacific,Lower middle income,1972
East Asia and Pacific,Lower middle income,2000
East Asia and Pacific,Lower middle income,1973
East Asia and Pacific,Lower middle income,1986
East Asia and Pacific,Lower middle income,1987
East Asia and Pacific,Lower middle income,1976
North America,High income,1857
East Asia and Pacific,Lower middle income,1958
East Asia and Pacific,Lower middle income,1997
East Asia and Pacific,Lower middle income,1995
East Asia and Pacific,Lower middle income,1920
East Asia and Pacific,Lower middle income,1946
East Asia and Pacific,Lower middle income,1946
East Asia and Pacific,Lower middle income,1961
East Asia and Pacific,Lower middle income,1960
East Asia and Pacific,Lower middle income,1966
East Asia and Pacific,Lower middle income,1945
East Asia and Pacific,Lower middle income,1993
East Asia and Pacific,Lower middle income,2002
North America,High income,1831
East Asia and Pacific,Lower middle income,1924
East Asia and Pacific,Lower middle income,1998
East Asia and Pacific,Lower middle income,1994
North America,High income,1866
East Asia and Pacific,High income,1997
East Asia and Pacific,High income,1947
East Asia and Pacific,High income,1886
East Asia and Pacific,High income,1965
East Asia and Pacific,High income,1949
East Asia and Pacific,High income,1997
East Asia and Pacific,High income,1994
East Asia and Pacific,High income,1993
East Asia and Pacific,High income,1987
East Asia and Pacific,High income,1966
East Asia and Pacific,High income,2006
East Asia and Pacific,High income,2011
East Asia and Pacific,High income,2003
East Asia and Pacific,High income,2002
East Asia and Pacific,High income,1974
East Asia and Pacific,High income,2008
East Asia and Pacific,High income,1972
East Asia and Pacific,High income,1945
East Asia and Pacific,High income,1956
East Asia and Pacific,High income,1966
East Asia and Pacific,High income,1975
East Asia and Pacific,High income,2006
East Asia and Pacific,High income,1997
East Asia and Pacific,High income,1901
East Asia and Pacific,High income,1973
East Asia and Pacific,High income,2008
East Asia and Pacific,High income,2012
East Asia and Pacific,High income,1905
East Asia and Pacific,High income,1975
East Asia and Pacific,High income,1960
East Asia and Pacific,High income,2012
East Asia and Pacific,High income,2005
East Asia and Pacific,High income,1965
East Asia and Pacific,High income,1967
East Asia and Pacific,High income,2009
East Asia and Pacific,High income,1997
East Asia and Pacific,High income,1935
East Asia and Pacific,High income,1988
East Asia and Pacific,High income,1906
East Asia and Pacific,High income,2013
East Asia and Pacific,High income,2008
East Asia and Pacific,High income,1926
East Asia and Pacific,High income,1942
East Asia and Pacific,High income,1941
East Asia and Pacific,High income,1953
East Asia and Pacific,High income,2000
East Asia and Pacific,High income,1906
East Asia and Pacific,High income,1967
East Asia and Pacific,High income,2004
East Asia and Pacific,High income,2012
East Asia and Pacific,High income,2009
East Asia and Pacific,High income,1999
East Asia and Pacific,High income,1926
East Asia and Pacific,High income,2009
East Asia and Pacific,High income,1956
East Asia and Pacific,High income,1943
East Asia and Pacific,High income,1996
East Asia and Pacific,High income,1947
East Asia and Pacific,High income,1881
East Asia and Pacific,High income,1999
East Asia and Pacific,High income,1951
East Asia and Pacific,High income,1950
East Asia and Pacific,High income,2007
East Asia and Pacific,High income,1967
East Asia and Pacific,High income,2007
East Asia and Pacific,High income,1966
East Asia and Pacific,High income,1985
East Asia and Pacific,High income,1940
Middle East and North Africa,Upper middle income,2008
Middle East and North Africa,Upper middle income,1992
Middle East and North Africa,Upper middle income,1989
Middle East and North Africa,Upper middle income,1999
Middle East and North Africa,Upper middle income,1962
Middle East and North Africa,Upper middle income,2002
Middle East and North Africa,Upper middle income,2005
Middle East and North Africa,Upper middle income,2005
Middle East and North Africa,Upper middle income,1992
Middle East and North Africa,Upper middle income,1991
Middle East and North Africa,Upper middle income,1996
Middle East and North Africa,Upper middle income,1991
Middle East and North Africa,Upper middle income,1991
Middle East and North Africa,Upper middle income,1991
Sub-Saharan Africa,Lower middle income,2011
Middle East and North Africa,Upper middle income,1986
Middle East and North Africa,Upper middle income,1975
Middle East and North Africa,Upper middle income,1994
Middle East and North Africa,Upper middle income,1993
East Asia and Pacific,High income,2003
East Asia and Pacific,High income,1947
East Asia and Pacific,High income,1934
Europe and Central Asia,Lower middle income,1992
Europe and Central Asia,Lower middle income,1991
Europe and Central Asia,Lower middle income,1992
Middle East and North Africa,Upper middle income,1990
Europe and Central Asia,Lower middle income,1992
Europe and Central Asia,Lower middle income,1994
Europe and Central Asia,High income,1936
Europe and Central Asia,Lower middle income,1995
Europe and Central Asia,Lower middle income,1993
Europe and Central Asia,High income,1961
Sub-Saharan Africa,Low income,1875
Middle East and North Africa,Upper middle income,1997
Middle East and North Africa,Upper middle income,1989
East Asia and Pacific,High income,1996
Middle East and North Africa,Upper middle income,1992
Middle East and North Africa,Upper middle income,1992
Middle East and North Africa,Upper middle income,1981
Middle East and North Africa,Upper middle income,1993
Middle East and North Africa,Upper middle income,2005
Middle East and North Africa,Upper middle income,1986
Middle East and North Africa,Upper middle income,2008
Middle East and North Africa,Upper middle income,2005
Middle East and North Africa,Upper middle income,2014
Middle East and North Africa,Upper middle income,1980
Europe and Central Asia,Upper middle income,1941
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,2003
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,2000
East Asia and Pacific,High income,1976
Europe and Central Asia,Upper middle income,1966
Europe and Central Asia,Upper middle income,1996
East Asia and Pacific,High income,1947
Europe and Central Asia,Upper middle income,1997
Europe and Central Asia,Upper middle income,1948
East Asia and Pacific,High income,1963
Europe and Central Asia,Upper middle income,1975
Europe and Central Asia,Upper middle income,1952
Europe and Central Asia,Upper middle income,1972
Europe and Central Asia,Upper middle income,1950
Europe and Central Asia,Upper middle income,1984
Europe and Central Asia,Upper middle income,2001
Europe and Central Asia,Upper middle income,1994
Middle East and North Africa,Lower middle income,1980
Middle East and North Africa,High income,1996
Sub-Saharan Africa,Lower middle income,1980
Sub-Saharan Africa,Lower middle income,2011
Sub-Saharan Africa,Lower middle income,2011
Sub-Saharan Africa,Lower middle income,2011
Sub-Saharan Africa,Lower middle income,2007
Sub-Saharan Africa,Lower middle income,1981
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2004
Sub-Saharan Africa,Lower middle income,2005
Sub-Saharan Africa,Lower middle income,1999
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2006
Sub-Saharan Africa,Lower middle income,1956
Sub-Saharan Africa,Lower middle income,2004
Sub-Saharan Africa,Lower middle income,2000
Sub-Saharan Africa,Lower middle income,2005
Sub-Saharan Africa,Lower middle income,2006
Sub-Saharan Africa,Lower middle income,2000
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2005
Sub-Saharan Africa,Lower middle income,1990
Sub-Saharan Africa,Lower middle income,1983
Sub-Saharan Africa,Lower middle income,1999
Sub-Saharan Africa,Lower middle income,1979
Sub-Saharan Africa,Lower middle income,1992
Sub-Saharan Africa,Lower middle income,1981
Sub-Saharan Africa,Lower middle income,1983
Sub-Saharan Africa,Lower middle income,2000
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2005
Sub-Saharan Africa,Lower middle income,1980
Sub-Saharan Africa,Lower middle income,2012
Sub-Saharan Africa,Lower middle income,2005
Sub-Saharan Africa,Lower middle income,1961
Sub-Saharan Africa,Lower middle income,1961
Sub-Saharan Africa,Lower middle income,2007
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,1982
Sub-Saharan Africa,Lower middle income,2011
Sub-Saharan Africa,Lower middle income,2006
Sub-Saharan Africa,Lower middle income,1991
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2005
Sub-Saharan Africa,Lower middle income,1954
Sub-Saharan Africa,Lower middle income,1978
Sub-Saharan Africa,Lower middle income,1960
Sub-Saharan Africa,Lower middle income,2006
Sub-Saharan Africa,Lower middle income,1988
Sub-Saharan Africa,Lower middle income,1948
Sub-Saharan Africa,Lower middle income,1970
Sub-Saharan Africa,Lower middle income,1975
Sub-Saharan Africa,Lower middle income,1975
Sub-Saharan Africa,Lower middle income,1971
Sub-Saharan Africa,Lower middle income,1975
Sub-Saharan Africa,Lower middle income,1960
Sub-Saharan Africa,Lower middle income,1975
Sub-Saharan Africa,Lower middle income,1975
Sub-Saharan Africa,Lower middle income,2007
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2007
Sub-Saharan Africa,Lower middle income,2007
Sub-Saharan Africa,Lower middle income,1947
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,2001
Europe and Central Asia,Upper middle income,2003
Europe and Central Asia,Upper middle income,2006
Europe and Central Asia,High income,1994
Europe and Central Asia,Upper middle income,2004
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,High income,1970
Europe and Central Asia,High income,1994
Europe and Central Asia,Upper middle income,1949
Europe and Central Asia,Upper middle income,1979
Europe and Central Asia,Upper middle income,2005
Europe and Central Asia,Upper middle income,2001
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,Upper middle income,2003
Europe and Central Asia,Upper middle income,2008
Europe and Central Asia,Upper middle income,2008
Europe and Central Asia,Upper middle income,2014
Europe and Central Asia,High income,1940
Europe and Central Asia,High income,1945
Europe and Central Asia,High income,1986
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1947
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1943
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1947
Europe and Central Asia,High income,1971
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1818
Europe and Central Asia,High income,1868
Europe and Central Asia,High income,1966
Europe and Central Asia,High income,1968
Europe and Central Asia,High income,1936
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1968
Europe and Central Asia,High income,1973
Europe and Central Asia,High income,1910
Europe and Central Asia,High income,1920
Europe and Central Asia,High income,1989
Europe and Central Asia,High income,1935
Europe and Central Asia,High income,1859
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1955
Europe and Central Asia,High income,1825
Europe and Central Asia,High income,1970
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1811
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1968
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,2002
Europe and Central Asia,High income,1976
Europe and Central Asia,High income,1890
Europe and Central Asia,High income,1907
Europe and Central Asia,High income,1981
Middle East and North Africa,High income,1999
Middle East and North Africa,High income,1995
Middle East and North Africa,High income,2002
Middle East and North Africa,High income,2001
Middle East and North Africa,High income,1996
Middle East and North Africa,High income,1990
Middle East and North Africa,High income,1984
Middle East and North Africa,High income,1987
Middle East and North Africa,High income,1996
Middle East and North Africa,High income,1994
East Asia and Pacific,High income,1980
East Asia and Pacific,High income,1905
East Asia and Pacific,High income,1997
Europe and Central Asia,Lower middle income,1955
Europe and Central Asia,Lower middle income,1953
East Asia and Pacific,Upper middle income,1997
East Asia and Pacific,High income,1952
East Asia and Pacific,High income,1946
East Asia and Pacific,High income,1979
East Asia and Pacific,High income,1979
East Asia and Pacific,High income,1954
East Asia and Pacific,High income,1997
East Asia and Pacific,High income,1954
East Asia and Pacific,High income,1949
East Asia and Pacific,High income,1946
East Asia and Pacific,High income,1946
East Asia and Pacific,High income,1955
East Asia and Pacific,High income,1982
East Asia and Pacific,High income,1966
East Asia and Pacific,High income,1950
East Asia and Pacific,High income,1966
East Asia and Pacific,Upper middle income,1905
East Asia and Pacific,Upper middle income,2006
East Asia and Pacific,Upper middle income,2002
East Asia and Pacific,Upper middle income,2001
East Asia and Pacific,Upper middle income,1994
East Asia and Pacific,Upper middle income,1992
East Asia and Pacific,Upper middle income,1993
East Asia and Pacific,Upper middle income,1979
East Asia and Pacific,Upper middle income,1969
East Asia and Pacific,Upper middle income,2011
East Asia and Pacific,Upper middle income,1922
East Asia and Pacific,Upper middle income,2001
East Asia and Pacific,Upper middle income,1992
East Asia and Pacific,Upper middle income,1984
East Asia and Pacific,Upper middle income,1971
East Asia and Pacific,Upper middle income,2000
East Asia and Pacific,Upper middle income,1997
East Asia and Pacific,Upper middle income,1997
East Asia and Pacific,Upper middle income,1969
East Asia and Pacific,Upper middle income,2000
East Asia and Pacific,Upper middle income,1904
East Asia and Pacific,Upper middle income,1956
East Asia and Pacific,Upper middle income,1997
East Asia and Pacific,Upper middle income,1976
East Asia and Pacific,Upper middle income,2006
East Asia and Pacific,Upper middle income,1997
East Asia and Pacific,Upper middle income,1993
East Asia and Pacific,Upper middle income,1964
East Asia and Pacific,Upper middle income,1984
East Asia and Pacific,Upper middle income,1980
East Asia and Pacific,Upper middle income,2008
East Asia and Pacific,Upper middle income,1995
East Asia and Pacific,Upper middle income,2004
East Asia and Pacific,Upper middle income,2001
East Asia and Pacific,Upper middle income,2012
East Asia and Pacific,Upper middle income,2005
East Asia and Pacific,Upper middle income,2011
East Asia and Pacific,Upper middle income,2010
East Asia and Pacific,Upper middle income,2011
East Asia and Pacific,Upper middle income,1955
East Asia and Pacific,Upper middle income,1999
East Asia and Pacific,Upper middle income,2012
East Asia and Pacific,Upper middle income,2010
East Asia and Pacific,Upper middle income,2009
East Asia and Pacific,Upper middle income,1983
East Asia and Pacific,Upper middle income,1991
East Asia and Pacific,Upper middle income,1987
East Asia and Pacific,Upper middle income,1990
East Asia and Pacific,Upper middle income,1969
East Asia and Pacific,Upper middle income,1998
South Asia,Upper middle income,2005
East Asia and Pacific,Upper middle income,1999
East Asia and Pacific,Upper middle income,1996
East Asia and Pacific,Upper middle income,2013
East Asia and Pacific,Upper middle income,2013
South Asia,Upper middle income,1973
South Asia,Upper middle income,2004
South Asia,Upper middle income,1998
South Asia,Upper middle income,2006
Sub-Saharan Africa,Low income,1950
Sub-Saharan Africa,Low income,1962
Sub-Saharan Africa,Low income,1999
Sub-Saharan Africa,Low income,2008
Sub-Saharan Africa,Low income,2012
Sub-Saharan Africa,Low income,1993
Sub-Saharan Africa,Low income,2011
Middle East and North Africa,High income,1985
Sub-Saharan Africa,Low income,1968
Sub-Saharan Africa,High income,1970
Middle East and North Africa,High income,1988
Middle East and North Africa,High income,1592
Sub-Saharan Africa,Lower middle income,1966
Sub-Saharan Africa,High income,1974
Sub-Saharan Africa,Lower middle income,1970
Sub-Saharan Africa,Lower middle income,2008
Sub-Saharan Africa,Lower middle income,1981
Sub-Saharan Africa,High income,2012
East Asia and Pacific,Lower middle income,1994
Sub-Saharan Africa,High income,1995
Sub-Saharan Africa,High income,1965
Sub-Saharan Africa,High income,2000
Latin America and Caribbean,Upper middle income,1995
East Asia and Pacific,Lower middle income,1972
Latin America and Caribbean,Upper middle income,1996
Latin America and Caribbean,Upper middle income,1965
Latin America and Caribbean,Upper middle income,1995
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1937
East Asia and Pacific,Lower middle income,2002
Latin America and Caribbean,Upper middle income,1916
Latin America and Caribbean,Upper middle income,1879
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1990
Latin America and Caribbean,Upper middle income,1993
Latin America and Caribbean,Upper middle income,1964
Latin America and Caribbean,Upper middle income,1990
Latin America and Caribbean,Upper middle income,1993
Latin America and Caribbean,Upper middle income,1996
Latin America and Caribbean,Upper middle income,2003
East Asia and Pacific,Lower middle income,2005
Latin America and Caribbean,Upper middle income,1995
Latin America and Caribbean,Upper middle income,1983
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,1962
Latin America and Caribbean,Upper middle income,1990
Latin America and Caribbean,Upper middle income,1970
East Asia and Pacific,Lower middle income,1980
Latin America and Caribbean,Upper middle income,1988
Europe and Central Asia,Upper middle income,1995
Europe and Central Asia,Upper middle income,1996
Europe and Central Asia,Upper middle income,1964
Europe and Central Asia,Upper middle income,1953
Sub-Saharan Africa,Lower middle income,2011
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,1979
Europe and Central Asia,Upper middle income,1998
Europe and Central Asia,Upper middle income,1994
East Asia and Pacific,High income,1950
East Asia and Pacific,High income,1946
East Asia and Pacific,High income,1954
East Asia and Pacific,High income,1948
East Asia and Pacific,High income,1998
East Asia and Pacific,High income,1994
East Asia and Pacific,High income,1885
East Asia and Pacific,High income,1986
East Asia and Pacific,High income,1941
East Asia and Pacific,High income,1996
East Asia and Pacific,High income,1946
East Asia and Pacific,High income,1906
East Asia and Pacific,High income,1962
East Asia and Pacific,High income,1965
East Asia and Pacific,High income,1937
East Asia and Pacific,High income,1994
East Asia and Pacific,High income,1940
East Asia and Pacific,High income,1987
East Asia and Pacific,High income,1947
East Asia and Pacific,High income,1937
East Asia and Pacific,High income,1954
East Asia and Pacific,High income,1946
East Asia and Pacific,High income,1946
East Asia and Pacific,High income,1910
East Asia and Pacific,High income,1999
East Asia and Pacific,High income,1961
East Asia and Pacific,High income,1968
East Asia and Pacific,High income,1954
East Asia and Pacific,High income,1960
East Asia and Pacific,High income,1906
East Asia and Pacific,High income,1978
East Asia and Pacific,High income,1897
East Asia and Pacific,High income,1986
East Asia and Pacific,High income,1935
East Asia and Pacific,High income,1914
East Asia and Pacific,High income,1962
East Asia and Pacific,High income,1398
East Asia and Pacific,High income,1996
East Asia and Pacific,High income,1936
East Asia and Pacific,High income,1993
East Asia and Pacific,High income,1997
East Asia and Pacific,High income,1855
East Asia and Pacific,High income,1982
East Asia and Pacific,High income,1996
East Asia and Pacific,High income,1996
East Asia and Pacific,High income,1918
East Asia and Pacific,High income,1970
East Asia and Pacific,High income,1946
East Asia and Pacific,High income,1954
East Asia and Pacific,High income,1979
East Asia and Pacific,High income,1947
East Asia and Pacific,High income,2000
East Asia and Pacific,High income,1953
East Asia and Pacific,High income,1976
East Asia and Pacific,High income,1885
East Asia and Pacific,High income,1992
East Asia and Pacific,High income,1997
East Asia and Pacific,High income,1988
East Asia and Pacific,High income,2005
East Asia and Pacific,High income,2000
East Asia and Pacific,High income,2009
East Asia and Pacific,High income,2004
East Asia and Pacific,High income,1978
East Asia and Pacific,High income,2009
East Asia and Pacific,High income,1922
East Asia and Pacific,High income,2001
East Asia and Pacific,High income,1958
East Asia and Pacific,High income,1911
East Asia and Pacific,High income,1913
East Asia and Pacific,High income,1962
East Asia and Pacific,High income,1993
East Asia and Pacific,High income,1976
East Asia and Pacific,High income,2006
East Asia and Pacific,High income,2004
East Asia and Pacific,High income,2002
East Asia and Pacific,High income,2004
East Asia and Pacific,High income,2001
East Asia and Pacific,High income,2002
East Asia and Pacific,High income,2001
East Asia and Pacific,High income,1991
East Asia and Pacific,High income,2001
East Asia and Pacific,High income,2008
East Asia and Pacific,High income,1960
East Asia and Pacific,High income,1999
East Asia and Pacific,High income,2000
East Asia and Pacific,High income,1993
East Asia and Pacific,High income,1996
East Asia and Pacific,High income,2001
East Asia and Pacific,High income,1998
East Asia and Pacific,High income,2001
East Asia and Pacific,High income,2009
East Asia and Pacific,High income,1974
East Asia and Pacific,High income,2000
East Asia and Pacific,High income,2003
East Asia and Pacific,High income,2010
East Asia and Pacific,High income,1997
East Asia and Pacific,High income,2005
East Asia and Pacific,High income,2005
East Asia and Pacific,High income,1996
East Asia and Pacific,High income,1994
East Asia and Pacific,High income,2000
East Asia and Pacific,High income,2002
East Asia and Pacific,High income,2002
East Asia and Pacific,High income,1999
East Asia and Pacific,High income,2000
East Asia and Pacific,High income,1996
East Asia and Pacific,High income,1997
East Asia and Pacific,High income,1981
East Asia and Pacific,High income,1953
East Asia and Pacific,High income,2011
East Asia and Pacific,High income,2003
East Asia and Pacific,High income,2000
East Asia and Pacific,High income,2003
East Asia and Pacific,High income,1997
East Asia and Pacific,High income,2012
East Asia and Pacific,High income,1980
East Asia and Pacific,High income,2010
East Asia and Pacific,High income,2009
Middle East and North Africa,High income,2003
Middle East and North Africa,High income,2002
Middle East and North Africa,High income,2003
Middle East and North Africa,High income,1962
Middle East and North Africa,High income,1954
Middle East and North Africa,High income,2000
Middle East and North Africa,High income,1966
Middle East and North Africa,High income,2003
Middle East and North Africa,High income,1974
Middle East and North Africa,High income,2004
Middle East and North Africa,High income,2008
Europe and Central Asia,Lower middle income,1993
Europe and Central Asia,Lower middle income,1945
Europe and Central Asia,Lower middle income,1979
East Asia and Pacific,Lower middle income,1947
East Asia and Pacific,Lower middle income,1963
East Asia and Pacific,Lower middle income,1953
East Asia and Pacific,Lower middle income,1946
East Asia and Pacific,Lower middle income,1954
Europe and Central Asia,High income,1920
North America,High income,1922
East Asia and Pacific,Lower middle income,2006
East Asia and Pacific,Lower middle income,1861
East Asia and Pacific,Lower middle income,1981
East Asia and Pacific,Lower middle income,1981
East Asia and Pacific,Lower middle income,1977
East Asia and Pacific,Lower middle income,1996
North America,High income,1939
East Asia and Pacific,Lower middle income,1960
East Asia and Pacific,Lower middle income,2004
East Asia and Pacific,Lower middle income,1980
East Asia and Pacific,Lower middle income,1968
East Asia and Pacific,Lower middle income,1984
East Asia and Pacific,Lower middle income,1989
East Asia and Pacific,Lower middle income,1963
East Asia and Pacific,Lower middle income,1952
East Asia and Pacific,Lower middle income,1998
East Asia and Pacific,Lower middle income,1976
East Asia and Pacific,Lower middle income,1993
East Asia and Pacific,Lower middle income,1987
East Asia and Pacific,Lower middle income,1933
East Asia and Pacific,Lower middle income,1992
East Asia and Pacific,Lower middle income,1950
East Asia and Pacific,Lower middle income,1995
East Asia and Pacific,Lower middle income,1950
East Asia and Pacific,Lower middle income,1999
East Asia and Pacific,Lower middle income,1995
East Asia and Pacific,Lower middle income,1906
East Asia and Pacific,Lower middle income,2003
East Asia and Pacific,Lower middle income,1947
East Asia and Pacific,Lower middle income,2004
East Asia and Pacific,Lower middle income,2006
East Asia and Pacific,Lower middle income,1945
East Asia and Pacific,Lower middle income,1945
East Asia and Pacific,Lower middle income,1957
East Asia and Pacific,Lower middle income,1947
East Asia and Pacific,Lower middle income,2001
East Asia and Pacific,Lower middle income,1960
East Asia and Pacific,Lower middle income,2000
East Asia and Pacific,Lower middle income,1907
East Asia and Pacific,Lower middle income,1999
East Asia and Pacific,Lower middle income,2004
East Asia and Pacific,Lower middle income,1963
East Asia and Pacific,Lower middle income,1947
East Asia and Pacific,Lower middle income,1986
East Asia and Pacific,Lower middle income,1990
East Asia and Pacific,Lower middle income,1962
East Asia and Pacific,Lower middle income,2005
East Asia and Pacific,Lower middle income,2000
East Asia and Pacific,Lower middle income,1990
East Asia and Pacific,Lower middle income,1989
East Asia and Pacific,Lower middle income,1940
East Asia and Pacific,Lower middle income,1927
East Asia and Pacific,Lower middle income,2005
East Asia and Pacific,Lower middle income,1992
East Asia and Pacific,Lower middle income,1971
East Asia and Pacific,Lower middle income,1994
East Asia and Pacific,Lower middle income,1928
East Asia and Pacific,Lower middle income,1900
East Asia and Pacific,Lower middle income,1922
East Asia and Pacific,Lower middle income,1900
East Asia and Pacific,Lower middle income,1945
East Asia and Pacific,Lower middle income,1994
East Asia and Pacific,Lower middle income,1989
East Asia and Pacific,Lower middle income,1999
East Asia and Pacific,Lower middle income,1994
East Asia and Pacific,Lower middle income,1927
East Asia and Pacific,Lower middle income,1993
East Asia and Pacific,Lower middle income,2004
East Asia and Pacific,Lower middle income,1971
East Asia and Pacific,Lower middle income,1946
East Asia and Pacific,Lower middle income,1990
East Asia and Pacific,Lower middle income,1989
East Asia and Pacific,Lower middle income,1948
East Asia and Pacific,Lower middle income,1985
East Asia and Pacific,Lower middle income,1989
East Asia and Pacific,Lower middle income,1946
East Asia and Pacific,Lower middle income,1979
East Asia and Pacific,Lower middle income,1994
East Asia and Pacific,Lower middle income,1964
East Asia and Pacific,Lower middle income,2000
East Asia and Pacific,Lower middle income,1968
East Asia and Pacific,Lower middle income,1941
East Asia and Pacific,Lower middle income,1946
East Asia and Pacific,Lower middle income,1931
East Asia and Pacific,Lower middle income,1932
East Asia and Pacific,Lower middle income,1918
East Asia and Pacific,Lower middle income,1946
East Asia and Pacific,Lower middle income,1993
East Asia and Pacific,Lower middle income,2004
East Asia and Pacific,Lower middle income,1956
East Asia and Pacific,Lower middle income,1945
East Asia and Pacific,Lower middle income,1923
East Asia and Pacific,Lower middle income,1948
East Asia and Pacific,Lower middle income,1971
East Asia and Pacific,Lower middle income,1979
East Asia and Pacific,Lower middle income,1968
East Asia and Pacific,Lower middle income,1949
East Asia and Pacific,Lower middle income,1995
East Asia and Pacific,Lower middle income,1967
East Asia and Pacific,Lower middle income,1946
East Asia and Pacific,Lower middle income,1971
East Asia and Pacific,Lower middle income,1963
East Asia and Pacific,Lower middle income,1932
East Asia and Pacific,Lower middle income,1948
East Asia and Pacific,Lower middle income,1953
East Asia and Pacific,Lower middle income,1948
East Asia and Pacific,Lower middle income,1954
East Asia and Pacific,Lower middle income,1958
East Asia and Pacific,Lower middle income,1946
East Asia and Pacific,Lower middle income,1941
East Asia and Pacific,Lower middle income,1965
East Asia and Pacific,Lower middle income,1901
East Asia and Pacific,Lower middle income,1950
East Asia and Pacific,Lower middle income,1904
East Asia and Pacific,Lower middle income,1966
East Asia and Pacific,Lower middle income,1992
East Asia and Pacific,Lower middle income,2005
East Asia and Pacific,Lower middle income,1970
East Asia and Pacific,Lower middle income,1964
East Asia and Pacific,Lower middle income,1929
East Asia and Pacific,Lower middle income,1906
East Asia and Pacific,Lower middle income,1946
East Asia and Pacific,Lower middle income,1916
East Asia and Pacific,Lower middle income,1906
East Asia and Pacific,Lower middle income,2005
East Asia and Pacific,Lower middle income,1966
Latin America and Caribbean,Upper middle income,1987
Latin America and Caribbean,Upper middle income,1980
Latin America and Caribbean,Upper middle income,1984
Latin America and Caribbean,Upper middle income,1994
Latin America and Caribbean,Upper middle income,2007
East Asia and Pacific,Lower middle income,1935
Latin America and Caribbean,Upper middle income,1988
Latin America and Caribbean,Upper middle income,1992
Latin America and Caribbean,Upper middle income,1986
Latin America and Caribbean,Upper middle income,1997
Latin America and Caribbean,Upper middle income,1972
East Asia and Pacific,Lower middle income,1989
Latin America and Caribbean,Upper middle income,1995
Latin America and Caribbean,Upper middle income,1989
East Asia and Pacific,Lower middle income,1985
Latin America and Caribbean,Upper middle income,1974
Latin America and Caribbean,Upper middle income,1989
Latin America and Caribbean,Upper middle income,1987
Latin America and Caribbean,Upper middle income,1993
Latin America and Caribbean,Upper middle income,1997
Latin America and Caribbean,Upper middle income,1982
Latin America and Caribbean,Upper middle income,1991
Latin America and Caribbean,Upper middle income,1993
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1987
Latin America and Caribbean,Upper middle income,1984
East Asia and Pacific,Lower middle income,1958
Latin America and Caribbean,Upper middle income,1978
East Asia and Pacific,Lower middle income,1963
Latin America and Caribbean,Upper middle income,1975
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,1996
Latin America and Caribbean,Upper middle income,1984
Latin America and Caribbean,Upper middle income,1976
East Asia and Pacific,Lower middle income,1982
Latin America and Caribbean,Upper middle income,1939
Latin America and Caribbean,Upper middle income,1991
Latin America and Caribbean,Upper middle income,1974
Latin America and Caribbean,Upper middle income,1990
